Base Candidate:	 You are an expert in identifying potentially unfair clauses in terms of service documents . Answer 'Yes' or 'No' only . Is the following sentence a potentially unfair clause?
Score for Candidate 0:	 38.26869457572426
Score for Candidate 1:	 77.56011667009257
Score for Candidate 2:	 52.940116670092564
Score for Candidate 3:	 84.00346967089962
Score for Candidate 4:	 58.01346967089962

Ran out of patience 

Testing .... 
Instruction after search:	You or . Answer 'Yes' or 'No' Only once . Is a potentially unfair clause?
Accuracy after search:	280.0
Edit Operations:	swap del sub add
